task,top_k,original_position,updated_oracle_pos
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,1
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,0,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,1
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,4
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
random,5,1,0
